Index,Address,GPR,Area,Dwelling Units,LRA,Height control,Max dwelling units,Road setback
214,BUKIT TIMAH MANSION,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", 
215,BULLION PARK, , , , , , , 
216,BUONA LODGE,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['SOUTH BUONA VISTA ROAD', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
217,BUONA VISTA GARDENS,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['SOUTH BUONA VISTA ROAD', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
218,BUTTERWORTH 33,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT5', '7.5m (3m)']"
219,BUTTERWORTH VIEW,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT5', '7.5m (3m)']"
220,CADENCE LIGHT,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['TELOK KURAU ROAD', 'CAT4', '7.5m (3m)']"
221,CAIRNHILL ASTORIA,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 20 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['CAIRNHILL RISE', 'NCAT', '7.5m (3m)']"
222,CAIRNHILL CREST,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 20 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['SAUNDERS ROAD', 'NCAT', '7.5m (3m)']"
223,CAIRNHILL HEIGHTS,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['MOUNT ELIZABETH', 'NCAT', '7.5m (3m)']"
224,CAIRNHILL PLAZA,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['', 'NCAT', '7.5m (3m)']"
225,CAIRNHILL RESIDENCES,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 20 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['CAIRNHILL RISE', 'NCAT', '7.5m (3m)']"
226,CALARASI,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['KIM KEAT LANE', 'CAT5', '7.5m (3m)']"
227,CALIN MANSIONS,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
228,CALLIDORA VILLE,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['LORONG N TELOK KURAU', 'CAT5', '7.5m (3m)']"
229,CAMBIO SUITES,1.4,"2,664.1 sqm",53,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['LIM TUA TOW ROAD', 'CAT5', '7.5m (3m)']"
230,CAMELLIA LODGE,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
231,CAMELODGE,3.0, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['UPPER EAST COAST ROAD', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
232,CANARY VILLE,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
233,CANBERLIN APARTMENTS,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,Guideline on maximum allowable DUs is not applicable to non-residential developments., 
234,CANBERLIN LODGE,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,Guideline on maximum allowable DUs is not applicable to non-residential developments., 
235,CANBERRA RESIDENCES,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['SEMBAWANG ROAD', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
236,CANDEVILLE,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
237,CANNAVILLE,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
238,CANNE LODGE, , , , , , , 
240,CANTIZ @ RAMBAI,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['RAMBAI ROAD', 'CAT5', '7.5m (3m)']"
241,CAPE ROYALE, , , , , , , 
242,CARABELLE, , , , , , , 
243,CARDIFF RESIDENCE,1.4,"5,860.2 sqm",163,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['BURGHLEY DRIVE', 'CAT5', '7.5m (3m)']"
244,CARIBBEAN AT KEPPEL BAY,Subject to detailed evaluation,"97,493.6 sqm",0,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT2', 'Building ≤ 5 storeys\n12m Building ≥ 6 storeys\n15m']"
245,CARISSA PARK CONDOMINIUM,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['FLORA ROAD', 'CAT4', '7.5m (3m)']"
246,CARLISLE COURT,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'NCAT', '7.5m (3m)']"
247,CARLYX GREEN,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'NCAT', '7.5m']"
248,CARLYX RESIDENCE,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['CARLISLE ROAD', 'NCAT', '7.5m (3m)']"
249,CARMI MANSIONS,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
250,CARPMAEL THIRTY-EIGHT, , , , , , , 
251,CASA AERATA, , , , , , , 
252,CASA AL MARE,1.4,"2,466.8 sqm",49,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT5', '7.5m (3m)']"
253,CASA AROMA,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['CHIKU ROAD', 'CAT5', '7.5m (3m)']"
254,CASA CAIRNHILL,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 20 storey,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm.,"['CAIRNHILL RISE', 'NCAT', '7.5m (3m)']"
255,CASA CAMBIO,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
256,CASA CONTENDERE, , , , , , , 
257,CASA EMERALD, , , , , , , 
258,CASA ESPANIA,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['GAMBIR WALK', 'CAT5', '7.5m (3m)']"
259,CASA ESPERANZA,2.07, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 10 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['BLACKMORE DRIVE', 'CAT4', '7.5m (3m)']"
260,CASA FELIZ,1.4,"1,283.83 sqm",12,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['KOON SENG ROAD', 'CAT4', '7.5m (3m)']"
261,CASA FIDELIO,GPR of landed houses is resultant of the allowable building envelope, , ,LRA requirements are not applicable to designated landed housing areas.,Maximum 2 storey,Each landed house shall be used for a single dwelling unit. Redevelopment into multiple landed houses is subject to subdivision guidelines.,"['', 'CAT5', '7.5m (0m)']"
262,CASA FLORA, , , , , , , 
263,CASA FORTUNA,2.8,"2,568.4 sqm",106,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
264,CASA IRRAWADDY,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['IRRAWADDY ROAD', 'CAT4', '7.5m (3m)']"
265,CASA JERVOIS,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['JERVOIS LANE', 'CAT5', '7.5m (3m)']"
266,CASA MELWANI,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 117m SHD,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['SURREY ROAD', 'NCAT', '7.5m (3m)']"
267,CASA MERAH, , , , , , , 
268,CASA MEYA,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT5', '7.5m (3m)']"
269,CASA NOVACREST, , , , , , , 
270,CASA PASIR RIS, , , , , , , 
271,CASA RIVIERA, , , , , , , 
272,CASA ROSA,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['LORONG ONG LYE', 'CAT5', '7.5m (3m)']"
273,CASA SARINA,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['JALAN YASIN', 'CAT5', '7.5m (3m)']"
274,CASA UNO,Subject to detailed evaluation, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['STEVENS CLOSE', 'CAT5', '7.5m (3m)']"
275,CASABELLA,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT5', '7.5m (3m)']"
276,CASABLANCA, , , , , , , 
277,CASAFINA,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['BEDOK SOUTH AVENUE 1', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
278,CASCADALE, , , , , , , 
279,CASCATA, , , , , , , 
280,CASERO @ DUNMAN,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
281,CASHEW PARK CONDOMINIUM,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
282,CASPIAN,3.5, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,More than 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['LAKESIDE DRIVE', 'CAT4', '7.5m (3m)']"
283,CASSIA EDGE, , , , , , , 
284,CASSIA VIEW,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['GUILLEMARD ROAD', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
285,CASTLE GREEN,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['ANG MO KIO AVENUE 6', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
286,CASTLE LOFT,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
287,CAVAN ROAD, , , , , , , 
288,CAVENAGH COURT,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36m SHD,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm., 
289,CAVENAGH GARDENS,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24m SHD,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm., 
290,CAVENAGH HOUSE, , , , , , , 
291,CAVENAGH LODGE,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24m SHD,Site must provide a minimum of 20% of DUs with a nett internal area of at least 70sqm., 
292,CAVENDISH PARK,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['MOUNT SINAI RISE', 'CAT5', '7.5m (3m)']"
293,CELADON VIEW,1.4,"2,785.2 sqm",27,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT5', '7.5m (3m)']"
294,CELESTIA,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
295,CENTRA HEIGHTS,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
296,CENTRA LOFT,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
297,CENTRA RESIDENCE,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
298,CENTRA STUDIOS,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
299,CENTRA SUITES,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
300,CENTRAL GREEN CONDOMINIUM,2.5, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['JALAN MEMBINA', 'CAT4', '7.5m (3m)']"
301,CENTRAL GROVE,3.0, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,More than 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['GEYLANG EAST AVENUE 1', 'CAT4', '7.5m (3m)']"
302,CENTRAL IMPERIAL,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,Guideline on maximum allowable DUs is not applicable to non-residential developments.,"['', '', '']"
303,CENTRAL MEADOWS,2.8,"209,370 sqm",1,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,Guideline on maximum allowable DUs is not applicable to HDB residential developments., 
304,CENTRAL VIEW,2.8,"209,370 sqm",10,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,Guideline on maximum allowable DUs is not applicable to HDB residential developments.,"['', 'CAT4', '7.5m (3m)']"
305,CENTRINA,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", 
306,CENTRO MANSIONS,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
307,CENTRO RESIDENCES,4.9, , ,This site falls within Strategic Areas. Please comply with the relevant LRA requirements.,More than 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT3', 'Building ≤ 5 storeys\n7.5m (3m)Building ≥ 6 storeys\n10m (3m)']"
308,CEYLON CREST, , , , , , , 
309,CEYLON POINT,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", 
310,CEYLON RESIDENCE,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", 
311,CHANCERY ESQUIRE,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
312,CHANCERY PARK,GPR of landed houses is resultant of the allowable building envelope, , ,LRA requirements are not applicable to designated landed housing areas.,Maximum 2 storey,Each landed house shall be used for a single dwelling unit. Redevelopment into multiple landed houses is subject to subdivision guidelines.,"['CHANCERY LANE', 'CAT5', '7.5m (0m)']"
313,CHANGI COURT,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
314,CHANGI GARDEN,Subject to detailed evaluation,"2,761.96 sqm",0,This site falls outside Strategic Areas. LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,Guideline on maximum allowable DUs is not applicable to non-residential developments.,"['TURNHOUSE ROAD', 'CAT5', '5m (3m)']"
315,CHANGI GREEN,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['UPPER CHANGI ROAD EAST', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
316,CHANTILLY RISE, , , , , , , 
317,CHAPEL COURT,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
318,CHAPEL LODGE, , , , , , , 
319,CHARISMA VIEW,1.99, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 8 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT4', '7.5m (3m)']"
320,CHARLESTON, , , , , , , 
321,CHARLTON CORNER,Subject to detailed evaluation, , ,LRA requirements are not applicable to designated landed housing areas.,Subject to detailed evaluation,Each landed house shall be used for a single dwelling unit. Redevelopment into multiple landed houses is subject to subdivision guidelines.,"['CHARLTON ROAD', 'CAT5', '7.5m (3m)']"
322,CHARMING GARDEN, , , , , , , 
323,CHATEAU LE FAME,1.6, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 12 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", 
324,CHELSEA GARDENS, , , , , , , 
325,CHELSEA LODGE,3.0, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 4 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['GOODMAN ROAD', 'CAT5', '7.5m (3m)']"
326,CHEN FANG MANSIONS,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
327,CHERRY GARDENS,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['LORONG LEW LIAN', 'CAT5', '7.5m (3m)']"
328,CHERRYHILL,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['LORONG LEW LIAN', 'CAT5', '7.5m (3m)']"
329,CHESTERVALE,2.8, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 36 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['BANGKIT ROAD', 'CAT4', '7.5m (3m)']"
330,CHESTNUT-VILLE,GPR of landed houses is resultant of the allowable building envelope, , ,LRA requirements are not applicable to designated landed housing areas.,Maximum 3 storey,Each landed house shall be used for a single dwelling unit. Redevelopment into multiple landed houses is subject to subdivision guidelines.,"['', 'CAT5', '7.5m (0m)']"
331,CHIKU MANSIONS, , , , , , , 
332,CHIVERTON,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More","['', 'CAT5', '7.5m (3m)']"
333,CHNG MANSIONS, , , , , , , 
334,CHOON KIM HOUSE,3.0,"1,392.4 sqm",10,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['UPPER SERANGOON ROAD', 'CAT2', 'Building ≤ 5 storeys\n12m (5m)Building ≥ 6 storeys\n15m (5m)']"
335,CHOON MOEY MANSIONS,2.8, , ,LRA requirements are generally not applicable to private sector developments.,Subject to detailed evaluation,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More", 
336,CHUAN GREEN,"GPR of buildings and/or structures, where allowed, is subject to evaluation", , ,LRA requirements are generally not applicable to private sector developments.,"Height of buildings and/or structures, where allowed, is subject to evaluation",Guideline on maximum allowable DUs is not applicable to non-residential developments.,"['', 'CAT5', '5m (3m)']"
337,CHUAN LOFT,GPR of landed houses is resultant of the allowable building envelope, , ,LRA requirements are not applicable to designated landed housing areas.,Maximum 2 storey,Each landed house shall be used for a single dwelling unit. Redevelopment into multiple landed houses is subject to subdivision guidelines., 
338,CHUAN PARK,2.1, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 24 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 85sqm.
See More","['', 'CAT4', '7.5m (3m)']"
339,CHUAN SEVEN,GPR of landed houses is resultant of the allowable building envelope, , ,LRA requirements are not applicable to designated landed housing areas.,Maximum 2 storey,Each landed house shall be used for a single dwelling unit. Redevelopment into multiple landed houses is subject to subdivision guidelines.,"['', 'CAT5', '7.5m (0m)']"
340,CHUNG CHIN FLATS,1.4, , ,This site falls outside Strategic Areas. Please comply with the relevant LRA requirements.,Maximum 5 storey,"Maximum allowable DUs for the site is derived by dividing the Gross Floor Area (GFA) of the residential component by 100sqm.
See More", 
341,CITIGATE RESIDENCE, , , , , , , 
